SEQ_NM,WEEKS,DAYS,FMLE_CURNT_CNT,SPAWN_RT,AVRG_SPAWN_WT,CNT_PER_FEED_QY,AVRG_WGH,CNT_PER_BEV_QY,BEV_FODR_RATE,TOP_TP,LWET_TP,TOP_HMDT,LWET_HMDT
477,10,6,102091,0,0,82.2,0,103,1.26,20,24,0,0
478,10,7,102084,0,0,73.8,0,79,1.08,22.5,27.1,0,0
479,11,1,102081,0,0,57.6,0,98,1.71,22,26,0,92
480,11,2,102077,0,0,60.6,0,121,2.12,22,26,62,94
481,11,3,102069,0,0,60,0,93,1.56,22.8,25.3,66,91
482,11,4,102054,0,0,62.8,0,99,1.59,22,25,78,94
483,11,5,102049,0,0,65.6,0,100,1.53,21,26,48,99
484,11,6,102042,0,0,66,0,100,1.53,21,26,48,99
485,11,7,102037,0,0,64.7,0,100,1.56,20,24,43,77
486,12,1,102029,0,0,64.2,0,91,1.42,21,25,40,77
487,12,2,102024,0,0,63.7,965,119,1.88,21,26,51,70
488,12,3,102024,0,0,63.5,0,111,1.76,20.9,26.2,45,72
489,12,4,102019,0,0,70.3,0,125,1.79,21,25.4,57,64
490,12,5,102017,0,0,69.7,0,104,1.5,21,27,44,75
491,12,6,102014,0,0,68.7,0,101,1.48,21,25,44,81
492,12,7,102010,0,0,74.1,0,102,1.38,20,24,68,73
493,13,1,102008,0,0,75.2,0,104,1.39,20,24,51,76
494,13,2,102005,0,0,73.4,1151,129,1.77,21,25,46,77
495,13,3,102004,0,0,76.3,0,102,1.34,20,27,49,76
496,13,4,101999,0,0,71.3,0,99,1.39,22,24,61,82
497,13,5,101991,0,0,72.3,0,99,1.37,22,25,65,85
498,13,6,101990,0,0,77.9,0,106,1.37,21,24,50,85
499,13,7,101987,0,0,79,0,108,1.37,20.2,24.5,39,71
500,14,1,101984,0,0,78.6,0,145,1.85,20,24,49,72
501,14,2,101983,0,0,78.2,1266,105,1.35,21,23,49,72
502,14,3,101979,0,0,78.8,0,110,1.41,19,22,45,69
503,14,4,101976,0,0,80.6,0,106,1.33,19,23,36,63
504,14,5,101970,0,0,78,0,110,1.42,19.9,23.6,29,68
505,14,6,101962,0,0,75.1,0,107,1.43,19,23,49,69
506,14,7,101961,0,0,80.5,1341,109,1.36,20,25,59,74
507,15,1,101957,0,0,79.3,0,103,1.3,20,24,50,75
508,15,2,101956,0,0,75.5,0,110,1.46,20,23,39,67
509,15,3,101955,0,0,78.7,0,117,1.49,19,25,55,68
510,15,4,101945,0,0,74.6,0,99,1.33,20,23,43,69
511,15,5,101944,0,0,61.3,0,96,1.58,19,26,41,70
512,15,6,101943,0,0,68.3,0,117,1.72,20,24,44,64
513,15,7,101942,0,0,72.3,1397,100,1.4,20,24,45,67
514,16,1,101942,0,0,75.7,0,96,1.28,20,24,55,69
515,16,2,101937,0,0,78.3,0,94,1.2,20,25,50,67
516,16,3,101935,0,0,77.5,0,93,1.2,19,24,36,68
517,16,4,101934,0,0,77.3,0,92,1.19,20,23,58,73
518,16,5,101932,0,0,77.6,0,97,1.25,19,24,46,60
519,16,6,101929,0,0,76.2,0,94,1.24,20,23,55,72
520,16,7,101928,0,0,77.1,1481,90,1.18,20,23,53,69
521,17,1,101926,0,0,76.3,0,91,1.2,20,23,43,66
522,17,2,101919,0,0,75.2,0,93,1.25,21,23,43,58
523,17,3,101917,0,0,76.2,0,96,1.26,21.3,23,45,64
524,17,4,101917,0,0,90.1,0,91,1.01,21,26,35,65
525,17,5,101914,0,0,53.8,0,87,1.62,21,24,49,65
526,17,6,101912,0,0,70.4,0,89,1.28,21,23,50,66
527,17,7,101910,0,0,74.7,1550,87,1.18,20,23,58,70
528,18,1,101907,0,0,73.1,0,88,1.21,20,23,57,77
529,18,2,101901,0,0,83.1,0,90,1.09,20,23,62,73
530,18,3,101895,0,0,78.8,0,91,1.16,20,22,70,83
531,18,4,101891,0,0,75.3,0,95,1.27,20,23,53,76
532,18,5,101890,0,0,78.5,0,94,1.2,20,22,58,69
533,18,6,101887,0,0,74.4,0,95,1.28,20,21,59,75
534,18,7,101885,0,0,74.7,1591,96,1.3,20,21,53,67
535,19,1,101883,0,0,71.9,0,97,1.36,20,23,42,75
536,19,2,101878,0,0,73.9,0,95,1.29,20,22,56,68
537,19,3,101872,0,0,81,0,160,1.98,19,21,51,71
538,19,4,101871,0,0,81.5,0,109,1.34,20,22,57,75
539,19,5,101860,0,0,88.9,0,90,1.02,20,21,54,74
540,19,6,101852,0,0,71.4,0,114,1.61,17,21,59,75
541,19,7,101846,0,0,75.9,1659,114,1.51,20,21,60,77
542,20,1,101838,0,0,81.2,0,120,1.49,20,23,39,66
543,20,2,101833,2.86,0,84.4,0,120,1.43,20,21,49,76
544,20,3,101820,4.06,48.6,86.3,0,125,1.45,20,22,56,77
545,20,4,101807,5.86,0,101.7,0,124,1.22,19,22,37,76
546,20,5,101797,8.12,0,84.6,0,125,1.49,21,22,44,75
547,20,6,101785,11.8,0,86.5,0,134,1.55,21,22,61,78
548,20,7,101764,16.05,49.2,88.5,1756,138,1.57,20,21,63,69
549,21,1,101746,20.86,0,87.8,0,142,1.62,20,24,50,81
550,21,2,101728,25.63,48.7,91.2,0,143,1.58,18,21,48,70
551,21,3,101695,30.76,49.1,88.7,0,149,1.68,19.6,21.3,54,75
552,21,4,101665,36.79,49,89,0,146,1.64,20,22,54,75
553,21,5,101637,41.79,49.8,89.7,0,153,1.71,20,21,52,72
554,21,6,101609,48.69,50.1,89.3,0,160,1.79,20,22,56,74
555,21,7,101582,54.7,50.4,99.7,1811,159,1.6,20,22,59,82
556,22,1,101549,60.88,51,96,0,162,1.69,20,23,48,84
557,22,2,101525,65.31,51.1,98.1,0,160,1.64,19,21,46,73
558,22,3,101499,71.5,51.3,99.6,0,166,1.67,16,21,51,79
559,22,4,101471,75.34,51.5,117.6,0,168,1.43,14,21,37,80
560,22,5,101442,78.81,51.8,105.2,0,169,1.61,18,21,49,80
561,22,6,101413,81.57,52.2,95.1,0,171,1.8,18,20,56,79
562,22,7,101389,84.71,52.3,101.4,1851,170,1.68,17,20,57,79
563,23,1,101362,86.16,52.3,107.2,0,181,1.69,19,22,38,77
564,23,2,101335,87.62,52.9,109.4,0,179,1.64,19,20,50,79
565,23,3,101311,89.45,53.3,107,0,184,1.72,18,20,56,81
566,23,4,101290,90.31,53.6,105.9,0,183,1.73,18.7,20.6,45,80
567,23,5,101265,91.36,53.7,112.3,0,187,1.67,18,20,55,79
568,23,6,101239,91.45,54.1,109.6,0,186,1.7,19,20,57,79
569,23,7,101222,92.63,54,111.5,1899,188,1.69,19,20,55,80
570,24,1,101196,92.75,54.2,113.5,0,191,1.68,19,21,43,80
571,24,2,101177,93.18,54.6,110.4,0,200,1.82,19,21,55,77
572,24,3,101155,93.39,55,113.5,0,192,1.7,19,21,55,77
573,24,4,101144,92.64,55.3,114.9,0,195,1.7,19,21,45,78
574,24,5,101115,93.85,55.4,118,0,195,1.66,19,21,52,76
575,24,6,101084,94.12,55.4,115.9,0,194,1.67,19,20,54,76
576,24,7,101069,93.83,55.8,115,1923,193,1.68,19,20,57,76
577,25,1,101050,93.05,55.6,116.2,0,195,1.69,17,20,48,81
578,25,2,101033,93.75,56.1,117.6,0,197,1.68,17,20,53,74
579,25,3,101023,93.39,56,119.1,0,196,1.65,16,21,53,75
580,25,4,101012,93.93,56.2,118.7,0,196,1.66,16,20,48,78
581,25,5,101002,93.89,56.5,120.1,0,195,1.63,18,21,51,73
582,25,6,100988,94.15,56.6,120.6,0,194,1.61,18,20,61,76
583,25,7,100977,94,56.7,122.5,1947,192,1.57,19,20,61,80
584,26,1,100964,94.56,56.9,117.6,0,200,1.71,19,20,47,82
585,26,2,100955,94.25,57,121.7,0,200,1.64,19,20,57,75
586,26,3,100942,94.82,57.1,122.1,0,195,1.6,18,20,56,72
587,26,4,100934,95,57.1,122.2,0,193,1.58,19,20,48,81
588,26,5,100931,95,57.2,120.3,0,195,1.62,19,20,55,77
589,26,6,100921,95.33,57.6,120.2,0,192,1.6,19,20,58,80
590,26,7,100913,95.14,57.6,119.8,1982,194,1.62,19,20,61,80
591,27,1,100908,95.21,57.8,120.8,0,194,1.61,19,21,39,81
592,27,2,100902,95.27,58,119.8,0,192,1.61,19,20,50,75
593,27,3,100894,95.27,58.2,119.1,0,189,1.59,19,20,56,78
594,27,4,100889,95.27,58.2,120.3,0,194,1.62,19.4,21.1,48,78
595,27,5,100886,95.35,58.3,119.5,0,193,1.62,19,20,54,75
596,27,6,100881,95.14,58.4,119.7,0,193,1.62,19,20,56,80
597,27,7,100877,95.34,58.5,119.4,2020,192,1.61,19,20,62,80
598,28,1,100871,95.09,58.5,116.2,0,190,1.64,18,20,48,74
599,28,2,100862,95.05,58.6,115.2,0,187,1.63,19,20,52,74
600,28,3,100859,95.12,58.6,117.2,0,188,1.61,19,20,51,75
601,28,4,100855,95.16,58.6,117.1,0,189,1.62,19,20,44,75
602,28,5,100847,95.34,58.7,113.9,0,188,1.65,19,20,53,72
603,28,6,100840,95.24,58.8,115.6,0,187,1.62,19,22,51,73
604,28,7,100837,95.08,58.8,117.2,2023,187,1.6,19,20,58,75
605,29,1,100829,95.29,58.8,117.6,0,194,1.65,19,21,42,77
606,29,2,100824,95.05,58.9,116.6,0,185,1.59,19,20,47,71
607,29,3,100819,95.2,58.9,118.9,0,186,1.57,19,20,49,75
608,29,4,100813,95.31,59.1,120.5,0,188,1.57,19,20,38,76
609,29,5,100809,95.32,59,121.9,0,187,1.54,19,20,43,74
610,29,6,100798,95.31,59.1,119.2,0,186,1.56,19,20,58,74
611,29,7,100796,95.21,59.2,121.8,2055,184,1.52,19,20,50,73
612,30,1,100796,95.26,59.4,120.9,0,185,1.53,19,20,40,73
613,30,2,100792,95.21,59.5,121.3,0,185,1.53,20,21,52,73
614,30,3,100787,95.29,59.5,120.8,0,185,1.54,19,21,50,73
615,30,4,100779,95.15,59.4,120.9,0,185,1.54,19,20,44,73
616,30,5,100774,95.29,59.7,121.8,0,186,1.53,20,21,55,70
617,30,6,100772,95.23,59.7,121.4,0,188,1.55,20,21,60,78
618,30,7,100770,95.11,59.7,121.1,2057,188,1.55,19,21,39,77
619,31,1,100769,95.36,59.8,119.9,0,185,1.55,19,21,46,71
620,31,2,100768,95.34,59.8,122,0,188,1.54,19,21,55,72
621,31,3,100766,95.1,59.8,121.4,0,188,1.56,19,20,53,74
622,31,4,100759,95.09,60,120.7,0,187,1.56,18,20,41,74
623,31,5,100756,95.21,60,122.1,0,185,1.52,19,21,48,72
624,31,6,100751,95.21,60,120.4,0,185,1.54,19,20,54,73
625,31,7,100749,95.13,60,122.7,2034,184,1.5,20,20,54,73
626,32,1,100743,95.12,60,123.2,0,184,1.5,19,20,43,76
627,32,2,100736,95.37,60,123.7,0,186,1.51,19,20,48,70
628,32,3,100728,95.16,60,124.1,0,187,1.51,19,20,51,72
629,32,4,100726,95.33,60.1,123.6,0,188,1.52,19,21,49,71
630,32,5,100724,95.1,60.1,124.3,0,188,1.52,19,21,51,73
631,32,6,100719,95.17,60.2,123.3,0,187,1.52,20,21,55,75
